;title;doi;abstract;url;publish_time;respuesta;score
1;Acute stroke care during the COVID-19 pandemic.;10.1111/ene.14843;The outbreak of coronavirus (COVID-19) pandemic has led to a global public health crisis with a significant impact on different aspects of healthcare performance, including the acute stroke management.;"https://doi.org/10.1111/ene.14843; https://www.ncbi.nlm.nih.gov/pubmed/33780100/";29/3/2021;coronavirus;0.9981
2;Genetically proxied interleukin-6 receptor inhibition: opposing associations with COVID-19 and pneumonia;10.1183/13993003.03545-2020;Respiratory disease is a main feature of severe COVID-19, and the potential of IL-6 receptor blockade to increase risk of pneumonia warrants vigilance and caution in their application to treat COVID-19.;"https://doi.org/10.1183/13993003.03545-2020; https://www.ncbi.nlm.nih.gov/pubmed/33214204/";19/11/2020;Respiratory disease;0.9477
3;Cryptococcemia in a patient with COVID‐19: A case report;10.1002/ccr3.3668;The authors urge clinicians to balance the use of Immunosuppressant drugs and tocilizumab for COVID‐19 patients to avoid the development of infections like Cryptococcemia, leading to death within 30 days.;"https://doi.org/10.1002/ccr3.3668; https://www.ncbi.nlm.nih.gov/pubmed/33598258/";19/12/2020;tocilizumab;0.9226
4;Airway Breathing Circulation: An Emergency Medicine Resident's Experience of the Beirut Explosion.;10.1111/acem.14147;When 2700 tons of Ammonium Nitrate explode, destroying half a city, no one comes out unscathed. We reflect here on the experience of an Emergency Medicine (EM) Resident the night of the Beirut port explosion.;"https://doi.org/10.1111/acem.14147; https://www.ncbi.nlm.nih.gov/pubmed/33022837/";6/10/2020;Emergency Medicine;0.9669
5;Unraveling the flaws of estimates of the infection fatality rate for COVID-19;10.1093/jtm/taaa239;The infection fatality rate (IFR) of COVID-19 is of importance for policymaking. We show that there are significant flaws in many studies estimating the IFR and used as references by public health authorities.;"https://doi.org/10.1093/jtm/taaa239; https://www.ncbi.nlm.nih.gov/pubmed/33398337/";4/1/2021;infection fatality rate;0.933
6;Developing drugs for the 'undruggable'.;10.2144/btn-2020-0134;There are up to 650,000 'undruggable' protein-protein interactions (PPIs) in the human interactome that can be potentially considered as novel therapeutic targets. How does the 'undruggable' become 'druggable'?;"https://doi.org/10.2144/btn-2020-0134; https://www.ncbi.nlm.nih.gov/pubmed/33054382/";1/10/2020;protein-protein interactions;0.9326
7;Absage von Impfungen wegen COVID-19;10.1007/s15006-020-0456-1;Infolge der Coronapandemie könnte es in Deutschland zu Impflücken kommen. Darauf deutet eine Befragung von 1.000 Menschen im Rahmen des COVID-19 Snapshot Monitoring (COSMO) hin, an dem sich u. a. das RKI beteiligt.;"https://doi.org/10.1007/s15006-020-0456-1; https://www.ncbi.nlm.nih.gov/pubmed/32405860/";14/5/2020;Snapshot Monitoring;0.9721
8;The Institute for Health Protection and its role in tackling COVID-19.;10.12968/bjon.2020.29.19.1132;Emeritus Professor Alan Glasper, from the University of Southampton, discusses the role of the newly created Institute for Health Protection, which has subsumed the work of Public Health England and other organisations.;"https://doi.org/10.12968/bjon.2020.29.19.1132; https://www.ncbi.nlm.nih.gov/pubmed/33104427/";22/10/2020;Institute for Health Protection;0.9865
9;Physician Executives Guide a Successful Covid-19 Response in Colorado;10.1056/cat.20.0402;Chief medical officers (CMOs) of seven health care systems collaborated to lead Colorado through the Covid-19 surge by harnessing the four “superpowers” of perspective, partnership, patient advocacy, and peer support.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7561247/;15/10/2020;Chief medical officers;0.9864
10;Girl-centered campaigns to increase and sustain uptake of the HPV vaccine.;10.1002/ijgo.13379;Despite being one of the most preventable cancers, cervical cancer claims the lives of thousands of women worldwide every year, with low- and middle-income countries (LMICs) accounting for four-fifths of the global burden.;"https://doi.org/10.1002/ijgo.13379; https://www.ncbi.nlm.nih.gov/pubmed/32961605/";22/9/2020;low- and middle-income countries;0.9048
11;Using public health law to contain the spread of COVID-19.;10.12968/bjon.2020.29.5.326;Richard Griffith, Senior Lecturer in Health Law at Swansea University, considers what powers are available to ministers, health and local authorities to minimise the spread of the novel coronavirus and the disease it causes.;"https://doi.org/10.12968/bjon.2020.29.5.326; https://www.ncbi.nlm.nih.gov/pubmed/32167816/";12/3/2020;Health Law;0.9362
12;AMA COVID‐19 recommendations: MAT, pain and harm reduction;10.1002/adaw.32681;Last month, the American Medical Association (AMA) made recommendations to help guide policymakers in reducing the stress experienced by patients with opioid use disorder (OUD) and pain, and urges the support of harm reduction.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7161740/;3/4/2020;opioid use disorder;0.9933
13;Editorial: Crisis Standards of Care for the COVID-19 Pandemic: An Essential Resource for the PALTC Community;10.1016/j.jamda.2020.12.001;This editorial introduces the first Crisis Standards of Care (CSC) document written for the PALTC community during the COVID-19 Pandemic. Readers are introduced to the concept of CSC, the workgroup as well as its covered topics.;"https://www.ncbi.nlm.nih.gov/pubmed/33306997/; https://api.elsevier.com/content/article/pii/S1525861020310495; https://www.sciencedirect.com/science/article/pii/S1525861020310495; https://doi.org/10.1016/j.jamda.2020.12.001";7/12/2020;Crisis Standards of Care;0.9612
14;Anti‐N‐Methyl‐D‐aspartate receptor encephalitis masquerading as fever of unknown origin;10.1002/ccr3.4025;Fever of unknown origin (FUO) is a diagnostic challenge. Anti‐N‐methyl‐D‐aspartate receptor encephalitis should be considered in children with FUO and new‐onset neurological symptoms without significant encephalopathy.;"https://www.ncbi.nlm.nih.gov/pubmed/33936687/; https://doi.org/10.1002/ccr3.4025";4/3/2021;Fever of unknown origin;0.9637
15;Attitudes and Experiences of Frontline Nursing Home Staff Towards Coronavirus Testing;10.1016/j.jamda.2020.11.001;The Indiana State Department of Health tested nursing home staff for COVID-19 in June 2020. A survey of staff found many felt physical discomfort, some questioned testing the asymptomatic, but a majority agreed testing is important.;"https://api.elsevier.com/content/article/pii/S1525861020309348; https://doi.org/10.1016/j.jamda.2020.11.001; https://www.sciencedirect.com/science/article/pii/S1525861020309348?v=s5; https://www.ncbi.nlm.nih.gov/pubmed/33253637/";5/11/2020;nursing home staff;0.9321
16;Priorisierung von Pflegeheimbewohnern aus notfallmedizinischer Sicht: Corona-Pandemie 2020;10.1007/s15006-020-0477-9;Aus notfallmedizinischer Sicht sollten geriatrische Patienten in Pflege- und Seniorenheimen bereits vor einem „Massenanfall von infizierten Personen” eine Priorisierung auf der Basis des ACP(Advance Care Planning)-Konzepts erfahren.;"https://doi.org/10.1007/s15006-020-0477-9; https://www.ncbi.nlm.nih.gov/pubmed/32405839/";14/5/2020;Advance Care Planning;0.9002
17;How Keyloggers Work and How To Defeat Them;10.1093/itnow/bwab017;Homeworking policies, necessary to curtail COVID-19, have also had the effect of exposing smaller enterprises to a level of sophisticated cyber-attack ordinarily reserved for large multi-nationals, writes Dave Waterson, CEO of SentryBay.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7928946/;16/2/2021;Homeworking policies;0.9827
18;Mandatory social distancing associated with increased doubling time: an example using hyperlocal data;10.1101/2020.04.15.20067272;In a hyperlocal analysis of doubling time of COVID-19, we found that a county that implemented mandatory social distancing and other measures to reduce spread of infection saw an earlier increase in doubling time than surrounding counties.;"http://medrxiv.org/cgi/content/short/2020.04.15.20067272v1?rss=1; https://doi.org/10.1101/2020.04.15.20067272";20/4/2020;doubling time;0.9672
19;COVID‐19 health restrictions in a transplanted Italian cohort;10.1111/tri.13661;An exponential diffusion of severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2) prompted Italian Institutions to take extraordinary healthcare restrictive measures since 8(th) March 2020, declaring quarantine for COVID‐19 (1).;"https://doi.org/10.1111/tri.13661; https://www.ncbi.nlm.nih.gov/pubmed/32460385/";27/5/2020;quarantine;0.9864
20;Rapid Operationalization of Covid-19 Monoclonal Antibody Infusion Clinics;10.1056/cat.21.0040;Houston Methodist rapidly deployed monoclonal antibody (mAB) infusion clinics by leveraging research expertise and health care system coordination, quickly expanding access to these novel therapies and resulting in excellent patient outcomes.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8007035/;29/3/2021;monoclonal antibody;0.9353
21;Vaccine Equity Index Shows Reduction in Maryland Covid-19 Vaccination Disparity in Less Than Two Months;10.1056/cat.21.0126;As communities develop targeted programs to improve access to and administration of vaccines in underserved populations, the Vaccine Equity Index (VEI) can be applied as a simple and objective method for tracking the progress of such efforts.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8064414/;23/4/2021;Vaccine Equity Index;0.9147
22;Absence of severe complications from SARS-CoV-2 infection in children with rheumatic diseases treated with biologic drugs.;10.3899/jrheum.200483;We read with interest the Editorial by Cron and Chatam (1) suggesting a cytokine storm syndrome (CSS) occurring in response to SARS-CoV-2 infection and, consequently, a possible role for targeted approaches to blocking inflammatory cytokines.;"https://doi.org/10.3899/jrheum.200483; https://www.ncbi.nlm.nih.gov/pubmed/32335512/";25/4/2020;cytokine storm syndrome;0.9282
