;title;doi;abstract;url;publish_time;respuesta;score
0;The impact of COVID-19 pandemic on psoriasis patients, and their immunosuppressive treatment: a cross-sectional multicenter study from Turkey.;10.1080/09546634.2021.1927947;"BACKGROUND Immunosuppressive therapy has been a great concern during the pandemic. This study aimed to evaluate the pandemic's impact on psoriasis patients treated with immunosuppressive drugs. MATERIAL AND METHODS The multicenter study was conducted in 14 tertiary dermatology centers. Demographic data, treatment status, disease course, and cases of COVID-19 were evaluated in patients with psoriasis using the immunosuppressive treatment. RESULTS Of 1827 patients included, the drug adherence rate was 68.2%. Those receiving anti-interleukin (anti-IL) drugs were more likely to continue treatment than patients receiving conventional drugs (OR = 1.50, 95% CI, 1.181-1.895, p = .001). Disease worsening rate was 24.2% and drug dose reduction increased this rate 3.26 and drug withdrawal 8.71 times. Receiving anti-TNF or anti-IL drugs was associated with less disease worsening compared to conventional drugs (p = .038, p = .032; respectively). Drug withdrawal causes were 'unable to come' (39.6%), 'COVID concern' (25.3%), and 'physician's and patient's co-decision' (17.4%). Four patients had COVID-19 infection with mild symptoms. The incidence was 0.0022% while it was 0.0025% in the general population. CONCLUSION Our study shows that psoriasis patients using systemic immunosuppressive do not have a higher, but even lower COVID-19 risk than the general population, and treatment compliance with biological drugs is higher.";"https://doi.org/10.1080/09546634.2021.1927947; https://www.ncbi.nlm.nih.gov/pubmed/34030547/";24/05/2021;concern;0.9017
1;The Effect of the Coronavirus Pandemic on Physician Assistant Educators.;10.1097/jpa.0000000000000312;PURPOSE The coronavirus (COVID-19) pandemic has presented physician assistant (PA) educators with unprecedented challenges in delivering content remotely with minimal time to develop new pedagogical strategies. We surveyed faculty about their experience during the early weeks of adapting to these new instructional techniques. METHODS An anonymous quantitative and qualitative survey was distributed to all individuals registered by programs as Physician Assistant Education Association members. RESULTS The survey response rate was 22.3% (667/2991) with 32% of program directors (PD), and 23.7% of faculty reporting they had taught online synchronous content prior to COVID-19 adaptations. Prior experience with technology was associated with significantly lower levels of faculty stress during the pivot to online instruction. A majority of the respondents felt educational quality had remained consistent despite the transition to online teaching, and a majority of both faculty and program directors anticipate only minor changes to program structure once they are able to return to traditional classroom learning. Concerns about technology were most commonly cited as stressors and as causes of decreased quality of instruction. CONCLUSION Educational challenges and stress during the pandemic were most prominently associated with unfamiliar technology. It remains to be seen what changes persist when the pandemic subsides.;"https://doi.org/10.1097/jpa.0000000000000312; https://www.ncbi.nlm.nih.gov/pubmed/32732664/";28/07/2020;coronavirus;0.9877
2;Understanding Economic and Health Factors Impacting the Spread of COVID-19 Disease;10.1101/2020.04.10.20058222;The rapid spread of the Coronavirus 2019 disease (COVID-19) had drastically impacted life all over the world. While some economies are actively recovering from this pestilence, others are experiencing fast and consistent disease spread, compelling governments to impose social distancing measures that have put a halt on routines, especially in densely-populated areas. Aiming at bringing more light on key economic and public health factors affecting the disease spread, this initial study utilizes a quantitative statistical analysis based on the most recent publicly-available COVID-19 datasets. The study had shown and explained multiple significant relationships between the COVID-19 data and other country-level statistics. We have also identified and statistically profiled four major country-level clusters with relation to different aspects of COVID-19 development and country-level economic and health indicators. Specifically, this study has identified potential COVID-19 under-reporting traits as well as various economic factors that impact COVID-19 Diagnosis, Reporting, and Treatment. Based on the country clusters, we have also described the four disease development scenarios, which are tightly knit to country-level economic and public health factors. Finally, we have highlighted the potential limitation of reporting and measuring COVID-19 and provided recommendations on further in-depth quantitative research.;https://doi.org/10.1101/2020.04.10.20058222;11/04/2020;Coronavirus 2019 disease;0.9195
3;In silico identification of RBD subdomain of spike protein from Pro(322)-Thr(581) for applications in vaccine development against SARS-CoV2;10.1016/j.molstruc.2021.130534;The three-dimensional hybrid structures of coronavirus spike proteins including the C-terminal sequence and receptor binding motif (RBM) was remodeled and energy minimized. Further, protein-protein docking show that Receptor Binding Domain (RBD) of SARSCoV 2 Lys(457)-Pro(490) bind on the surface of ACE2 receptor near N-terminal helices to form host-pathogen attachment. In this binding interface, SARS-CoV 2 shows a tight network of hydrogen bonds than other spike proteins from BtRsRaTG13-CoV, SARS-CoV, BtRsBeta-CoV, BtRsCoV-related, Pangolin-CoV (PCoV), human-CoV (hCoV), MERS-CoV (MCoV), Avian-CoV (ACoV) and PEDV1-CoV. Further studies show that subdomains from SARS-CoV 2 RBD Pro(322)-Thr(581), SARS-CoV RBD Pro(309)-Pro(575), BtRsRaTG13 RBD Thr(581)-Thr(323), BtRsBeta-CoV RBD Ser(311)-Thr(568), BtRsCoV-related Arg(306)-Pro(575) and PCoV RBD Gln(319)-Ser(589) show binding conformations with ACE2 like their full-length structures of spike proteins. In addition, the subdomains MCoV RBD Gly(372)-Val(616), ACoV RBD Gly(372)-Val(616) and PEDV1-CoV RBD Ala(315)-Tyr(675) also binds on the surface of ACE2 similar to their full-length spike proteins. The B-Cell epitope mapping also identified main antigenic determinants predicting that these nine subdomains are highly useful in recombinant vaccine development in inducing cross neutralizing antibodies against SARS-CoV 2 spike protein and inhibits its attachment with ACE2.;"https://www.ncbi.nlm.nih.gov/pubmed/33967342/; https://www.sciencedirect.com/science/article/pii/S0022286021006670?v=s5; https://api.elsevier.com/content/article/pii/S0022286021006670; https://doi.org/10.1016/j.molstruc.2021.130534";30/04/2021;Receptor Binding Domain;0.9607
4;Antibodies at work in the time of SARS-CoV-2;10.1016/j.jcyt.2020.08.009;Even after a decade of continuous emergence of coronaviruses, there aren't any licenced vaccines or therapeutics against the deadly infection. The age-old passive immunization with protective antibodies to neutralize the virus is one of the strategies for emergency prophylaxis and therapy for COVID-19. In this review, we discuss the up-to-date advances in immune-based therapy for COVID-19. The use of convalescent plasma therapy as the first line of defences to treat SARS-CoV-2 infection has been established with encouraging results. Monoclonal antibodies (mAbs) that bind to the receptor-binding domain (RBD) of SARS-CoV-2 spike (S) protein or blocking the interaction between SARS-CoV-2 RBD and human angiotensin-converting enzyme 2 (hACE2) receptor have been found very promising as the countermeasure to tackle the SARS-CoV-2 infection, though clinical trials are underway. Considering the counterproductive antibody-dependent enhancement of the virus, the mAbs therapy that is safe and efficacious even in people with an underlying condition will be a significant breakthrough. The emerging immunotherapeutic interventions using nanobodies and cellular immunotherapy are also the promising avenues to tackle the COVID-19 pandemic. We also discuss the implication of mAbs against mediators of cytokine storm syndrome to modify the immune response of COVID-19 patients, thus reducing the fatality rate of COVID-19 infection.;"https://doi.org/10.1016/j.jcyt.2020.08.009; https://www.ncbi.nlm.nih.gov/pubmed/32988772/; https://api.elsevier.com/content/article/pii/S146532492030846X; https://www.sciencedirect.com/science/article/pii/S146532492030846X?v=s5";31/08/2020;immune-based therapy;0.9439
5;Disrupted classes, undisrupted learning during COVID-19 outbreak in China: application of open educational practices and resources;10.1186/s40561-020-00125-8;With the coronavirus (COVID-19) outbreak in China, the Chinese government decided to ban any type of face-to-face teaching, disrupting classes and resulting in over 270 million students being unable to return to their universities/schools. Therefore, the Ministry of Education (MoE) launched an initiative titled ‘Ensuring learning undisrupted when classes are disrupted’ by reforming the entire educational system and including an online education component. However, this quick reform in this unexpected critical situation of widespread COVID-19 cases harbours several challenges, such as the lack of time and teacher/student isolation. This paper discusses the possibility of using open educational resources (OER) and open educational practices (OEP) as an effective educational solution to overcome these challenges. Particularly, this study presents a generic OEP framework built on existing open-practice definitions. It then presents, based on this framework and based on the challenges reported by several Chinese education specialists during two national online seminars, a set of guidelines for the effective use of OER and OEP for both teaching and learning. Finally, this study presents some recommendations for the better adoption of OER and OEP in the future. The findings of this study can help researchers and educators apply OER and OEP for better learning experiences and outcomes during the COVID-19 outbreak.;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7336082/;06/07/2020;coronavirus;0.9571
6;Rapid and Sensitive Detection of Severe Acute Respiratory Syndrome Coronavirus 2 in Label-Free Manner Using Micromechanical Sensors.;10.3390/s21134439;"Coronavirus (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has been identified as a deadly pandemic. The genomic analysis of SARS-CoV-2 is performed using a reverse transcription-polymerase chain reaction (RT-PCR) technique for identifying viral ribonucleic acid (RNA) in infected patients. However, the RT-PCR diagnostic technique is manually laborious and expensive; therefore, it is not readily accessible in every laboratory. Methodological simplification is crucial to combat the ongoing pandemic by introducing quick, efficient, and affordable diagnostic methods. Here, we report how microcantilever sensors offer promising opportunities for rapid COVID-19 detection. Our first attempt was to capture the single-stranded complementary DNA of SARS-CoV-2 through DNA hybridization. Therefore, the microcantilever surface was immobilized with an oligonucleotide probe and detected using complementary target DNA hybridization by a shift in microcantilever resonance frequency. Our results show that microcantilever sensors can discriminate between complementary and noncomplementary target DNA on a micro to nanoscale. Additionally, the microcantilever sensors' aptitude toward partial complementary DNA determines their potential to identify new variants of coronavirus. Therefore, microcantilever sensing could be a vital tool in the effort to extinguish the spreading COVID-19 pandemic.";"https://doi.org/10.3390/s21134439; https://www.ncbi.nlm.nih.gov/pubmed/34209484/";29/06/2021;Coronavirus;0.918
7;Dataset of enhanced UV-C emitting properties of Pr(3+)-activated rare earth phosphates driven by structural lattice distortion through a substitutional doping strategy;10.1016/j.dib.2021.107145;Ongoing global pandemic crisis of coronavirus (COVID-19) and its fast- and wide-spreading into entire worlds, critically intimidating our current and future lives, put more emphasis on the development of efficient UV-C emitting phosphors for the germicidal and medical applications due to the intense UV-C emission, which can effectively deactivate such viruses. In this regard, UV-C emitting Pr(3+)-activated three presentative rare earth phosphate such as YPO(4), LaPO(4), and La (x mol.%, x =0-0.21)-doped YPO(4) have been systematically investigated in terms of crystallographic evolution and their impact on the UV-C emitting properties. Scanning electron microscopy (SEM) images along with X-ray diffraction (XRD) patterns attested the substitutional doping of La into YPO(4) host matrices. Optical properties mainly investigated using the photoluminescence (PL) emission spectroscopy in the spectral range from 220-300 nm corresponding to UV-C energy region clearly demonstrated that the substitutional doping of La into YPO(4):Pr(3+) leads to the increase in transition probability of UV-C emission, resulted from the electronic transition of activator corresponding to [Xe]4f(1)5d(1)→[Xe]4f(2). The data presented here are related to the research article entitled “Structural distortion induced enhancement in UV-C emitting properties of Pr(3+)-activated La-substituted yttrium phosphates (Y(1-)(x)La(x)PO(4):Pr(3+))”.;"https://doi.org/10.1016/j.dib.2021.107145; https://www.ncbi.nlm.nih.gov/pubmed/34113700/";17/05/2021;coronavirus;0.9566
8;Is Gluten the Only Culprit for Non-Celiac Gluten/Wheat Sensitivity?;10.3390/nu12123785;The gluten-free diet (GFD) has gained increasing popularity in recent years, supported by marketing campaigns, media messages and social networks. Nevertheless, real knowledge of gluten and GF-related implications for health is still poor among the general population. The GFD has also been suggested for non-celiac gluten/wheat sensitivity (NCG/WS), a clinical entity characterized by intestinal and extraintestinal symptoms induced by gluten ingestion in the absence of celiac disease (CD) or wheat allergy (WA). NCG/WS should be regarded as an “umbrella term” including a variety of different conditions where gluten is likely not the only factor responsible for triggering symptoms. Other compounds aside from gluten may be involved in the pathogenesis of NCG/WS. These include fructans, which are part of fermentable oligosaccharides, disaccharides, monosaccharides and polyols (FODMAPs), amylase trypsin inhibitors (ATIs), wheat germ agglutinin (WGA) and glyphosate. The GFD might be an appropriate dietary approach for patients with self-reported gluten/wheat-dependent symptoms. A low-FODMAP diet (LFD) should be the first dietary option for patients referring symptoms more related to FODMAPs than gluten/wheat and the second-line treatment for those with self-reported gluten/wheat-related symptoms not responding to the GFD. A personalized approach, regular follow-up and the help of a skilled dietician are mandatory.;"https://www.ncbi.nlm.nih.gov/pubmed/33321805/; https://doi.org/10.3390/nu12123785";10/12/2020;gluten-free diet;0.9237
9;Productivity loss/gain in cost-effectiveness analyses for vaccines: a systematic review.;10.1080/14737167.2021.1881484;INTRODUCTION The kinds of costs included in cost-effectiveness analyses (CEAs) for vaccines, such as direct medical costs and indirect costs, may affect their outcomes. While some guidelines recommend inclusion of costs associated with productivity losses/gains, very little guidance is provided about the productivity elements to include and their calculation approach. Areas covered: We conducted a systematic review of CEAs for vaccines and vaccine programs published between 1 January 2010 and 19 November 2019 that included productivity costs using Medline, Embase, and the Cochrane Library. The kind of productivity elements included their calculation approach, and the impact of their inclusion on cost-effectiveness are summarized. Among 88 studies identified, productivity elements included were reported for 71 studies (81%) with absenteeism being the most commonly included element. Only 24 studies (27%) reported the approach used to calculate productivity costs (human capital vs. friction approach). Most studies (81%) reported a more favorable cost-effectiveness with the inclusion of productivity losses/gains. Expert opinion: Inclusion of productivity losses/gains for CEAs for vaccines has resulted in more favorable cost-effectiveness based on the studies reviewed. However, clearer guidance on the productivity elements to include by disease area and more transparency on the calculation method used may be needed.;"https://doi.org/10.1080/14737167.2021.1881484; https://www.ncbi.nlm.nih.gov/pubmed/33593223/";16/02/2021;cost-effectiveness analyses;0.9236
